Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26544,1,1,0,0,0,0,0
B26545,1,1,0,0,0,0,0
B26546,1,1,0,0,0,0,0
B26547,1,1,0,0,0,0,0
B26548,0,0,0,0,0,0,0
B26549,1,0,0,0,0,0,0
B26550,1,1,0,0,0,0,0
B26551,1,1,0,0,0,0,0
B26552,1,1,0,0,0,0,0
B26553,1,1,0,0,0,0,0
B26554,1,1,0,0,0,0,0
B26555,1,1,0,0,0,0,0
B26556,1,1,0,0,0,0,0
B26557,1,1,0,0,0,0,0
B26558,1,1,0,0,0,0,0
B26559,1,1,0,0,0,0,0
B26560,1,1,0,0,0,0,0
B26561,0,0,0,0,0,0,0
B26562,1,1,0,0,0,0,0
B26563,1,1,0,0,0,0,0
B26564,1,1,0,0,0,0,0
B26565,1,1,0,0,0,0,0
B26566,1,1,0,0,0,0,0
B26567,1,1,0,0,0,0,0
B26568,1,1,0,0,0,0,0
B26569,1,1,0,0,0,0,0
B26570,1,1,0,0,0,0,0
B26571,1,1,0,0,0,0,0
B26572,1,1,0,0,0,0,0
B26573,1,1,0,0,0,0,0
B26574,1,1,0,0,0,0,0
B26575,0,0,0,0,0,0,0
B26576,1,1,0,0,0,0,0
B26577,1,1,0,0,0,0,0
B26578,1,1,0,0,0,0,0
B26579,0,0,0,0,0,0,0
B26580,1,1,0,0,0,0,0
B26581,1,1,0,0,0,0,0
B26582,1,1,0,0,0,0,0
B26583,1,1,0,0,0,0,0
B26584,1,1,0,0,0,0,0
B26585,1,1,0,0,0,0,0
B26586,1,1,0,0,0,0,0
B26587,1,1,0,0,0,0,0
B26588,1,1,0,0,0,0,0
B26589,1,1,0,0,0,0,0
B26590,1,1,0,0,0,0,0
B26591,1,1,0,0,0,0,0
B26592,1,1,0,0,0,0,0
B26593,1,1,0,0,0,0,0
B26594,1,1,0,0,0,0,0
B26595,1,1,0,0,0,0,0
B26596,1,1,0,0,0,0,0
B26597,1,1,0,0,0,0,0
B26598,1,1,0,0,0,0,0
B26599,1,1,0,0,0,0,0
B26600,1,1,0,0,0,0,0
B26601,0,0,0,0,0,0,0
B26602,1,1,0,0,0,0,0
B26603,1,1,0,0,0,0,0
B26604,1,1,0,0,0,0,0
B26605,1,0,0,0,0,0,0
B26606,0,0,0,0,0,0,0
B26607,1,1,0,0,0,0,0
B26608,1,1,0,0,0,0,0
B26609,1,1,0,0,0,0,0
B26610,1,1,0,0,0,0,0
B26611,1,1,0,0,0,0,0
B26612,1,1,0,0,0,0,0
B26613,1,1,0,0,0,0,0
B26614,1,1,0,0,0,0,0
B26615,1,1,0,0,0,0,0
B26616,1,1,0,0,0,0,0
B26617,1,1,0,0,0,0,0
B26618,1,1,0,0,0,0,0
B26619,1,1,0,0,0,0,0
B26620,1,1,0,0,0,0,0
B26621,1,1,0,0,0,0,0
B26622,1,1,0,0,0,0,0
B26623,1,1,0,0,0,0,0
B26624,1,1,0,0,0,0,0
B26625,1,1,0,0,0,0,0
B26626,0,0,0,0,0,0,0
B26627,1,1,0,0,0,0,0
B26628,1,1,0,0,0,0,0
B26629,1,1,0,0,0,0,0
B26630,0,0,0,0,0,0,0
B26631,1,1,0,0,0,0,0
B26632,0,0,0,0,0,0,0
B26633,0,0,0,0,0,0,0
B26634,0,0,0,0,0,0,0
B26635,0,0,0,0,0,0,0
B26636,0,0,0,0,0,0,0
B26637,0,0,0,0,0,0,0
B26638,0,0,0,0,0,0,0
B26639,0,0,0,0,0,0,0
B26640,0,0,0,0,0,0,0
IM26001,0,0,0,0,0,0,0
IM26002,0,0,0,0,0,0,0
IM26003,0,0,0,0,0,0,0
IM26004,0,0,0,0,0,0,0
IM26005,0,0,0,0,0,0,0
IM26006,0,0,0,0,0,0,0
IM26007,0,0,0,0,0,0,0
IM26008,1,0,0,0,0,0,0
IM26009,1,1,0,0,0,0,0
IM26010,0,0,0,0,0,0,0
IM26011,0,0,0,0,0,0,0
IM26012,0,0,0,0,0,0,0
IM26013,0,0,0,0,0,0,0
IM26014,0,0,0,0,0,0,0
IM26015,0,0,0,0,0,0,0
IM26016,0,0,0,0,0,0,0
IM26017,0,0,0,0,0,0,0
IM26018,1,0,0,0,0,0,0
IM26019,0,0,0,0,0,0,0
IM26020,0,0,0,0,0,0,0
IM26021,0,0,0,0,0,0,0
