Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26589,0,0,0,0,0,0,0
B26590,0,0,0,0,0,0,0
B26591,0,0,0,0,0,0,0
B26592,0,0,0,0,0,0,0
B26593,0,0,0,0,0,0,0
B26594,0,0,0,0,0,0,0
B26595,0,0,0,0,0,0,0
B26596,0,0,0,0,0,0,0
B26597,0,0,0,0,0,0,0
B26598,0,0,0,0,0,0,0
B26599,0,0,0,0,0,0,0
B26600,0,0,0,0,0,0,0
B26601,0,0,0,0,0,0,0
B26602,0,0,0,0,0,0,0
B26603,0,0,0,0,0,0,0
B26604,0,0,0,0,0,0,0
B26605,0,0,0,0,0,0,0
B26606,0,0,0,0,0,0,0
B26607,0,0,0,0,0,0,0
B26608,0,0,0,0,0,0,0
B26609,0,0,0,0,0,0,0
B26610,0,0,0,0,0,0,0
B26611,0,0,0,0,0,0,0
B26612,0,0,0,0,0,0,0
B26613,0,0,0,0,0,0,0
B26614,0,0,0,0,0,0,0
B26615,0,0,0,0,0,0,0
B26616,0,0,0,0,0,0,0
B26617,0,0,0,0,0,0,0
B26618,0,0,0,0,0,0,0
B26619,0,0,0,0,0,0,0
B26620,0,0,0,0,0,0,0
B26621,0,0,0,0,0,0,0
B26622,0,0,0,0,0,0,0
B26623,0,0,0,0,0,0,0
B26624,0,0,0,0,0,0,0
B26625,0,0,0,0,0,0,0
B26626,0,0,0,0,0,0,0
B26627,0,0,0,0,0,0,0
B26628,0,0,0,0,0,0,0
B26629,0,0,0,0,0,0,0
B26630,0,0,0,0,0,0,0
B26631,0,0,0,0,0,0,0
B26632,0,0,0,0,0,0,0
B26633,0,0,0,0,0,0,0
B26634,0,0,0,0,0,0,0
B26635,0,0,0,0,0,0,0
B26636,0,0,0,0,0,0,0
B26637,0,0,0,0,0,0,0
B26638,0,0,0,0,0,0,0
B26639,0,0,0,0,0,0,0
B26640,0,0,0,0,0,0,0
IM26001,0,0,0,0,0,0,0
IM26002,0,0,0,0,0,0,0
IM26003,0,0,0,0,0,0,0
IM26004,0,0,0,0,0,0,0
IM26005,0,0,0,0,0,0,0
IM26006,0,0,0,0,0,0,0
IM26007,0,0,0,0,0,0,0
IM26008,0,0,0,0,0,0,0
IM26009,0,0,0,0,0,0,0
IM26010,0,0,0,0,0,0,0
IM26011,0,0,0,0,0,0,0
IM26012,0,0,0,0,0,0,0
IM26013,0,0,0,0,0,0,0
IM26014,0,0,0,0,0,0,0
IM26015,0,0,0,0,0,0,0
IM26016,0,0,0,0,0,0,0
IM26017,0,0,0,0,0,0,0
IM26018,0,0,0,0,0,0,0
IM26019,0,0,0,0,0,0,0
IM26020,0,0,0,0,0,0,0
IM26021,0,0,0,0,0,0,0
IM26022,0,0,0,0,0,0,0
IM26023,0,0,0,0,0,0,0
IM26024,0,0,0,0,0,0,0
IM26025,0,0,0,0,0,0,0
IM26026,0,0,0,0,0,0,0
IM26027,0,0,0,0,0,0,0
IM26028,0,0,0,0,0,0,0
IM26029,0,0,0,0,0,0,0
IM26030,0,0,0,0,0,0,0
IM26031,0,0,0,0,0,0,0
IM26032,0,0,0,0,0,0,0
IM26033,0,0,0,0,0,0,0
IM26034,0,0,0,0,0,0,0
IM26035,0,0,0,0,0,0,0
IM26036,0,0,0,0,0,0,0
IM26037,0,0,0,0,0,0,0
IM26038,0,0,0,0,0,0,0
IM26039,0,0,0,0,0,0,0
IM26040,0,0,0,0,0,0,0
IM26041,0,0,0,0,0,0,0
IM26042,0,0,0,0,0,0,0
IM26043,0,0,0,0,0,0,0
IM26044,0,0,0,0,0,0,0
IM26045,0,0,0,0,0,0,0
IM26046,0,0,0,0,0,0,0
IM26047,0,0,0,0,0,0,0
IM26048,0,0,0,0,0,0,0
IM26049,0,0,0,0,0,0,0
IM26050,0,0,0,0,0,0,0
IM26051,0,0,0,0,0,0,0
IM26052,0,0,0,0,0,0,0
IM26053,0,0,0,0,0,0,0
IM26054,0,0,0,0,0,0,0
IM26055,0,0,0,0,0,0,0
IM26056,0,0,0,0,0,0,0
IM26057,0,0,0,0,0,0,0
IM26058,0,0,0,0,0,0,0
IM26059,0,0,0,0,0,0,0
IM26060,0,0,0,0,0,0,0
IM26061,0,0,0,0,0,0,0
IM26062,0,0,0,0,0,0,0
IM26063,0,0,0,0,0,0,0
IM26064,0,0,0,0,0,0,0
IM26065,0,0,0,0,0,0,0
IM26066,0,0,0,0,0,0,0
IM26067,0,0,0,0,0,0,0
IM26068,0,0,0,0,0,0,0
IM26069,0,0,0,0,0,0,0
IM26070,0,0,0,0,0,0,0
IM26071,0,0,0,0,0,0,0
IM26072,0,0,0,0,0,0,0
IM26073,0,0,0,0,0,0,0
IM26074,0,0,0,0,0,0,0
IM26075,0,0,0,0,0,0,0
IM26076,0,0,0,0,0,0,0
IM26077,0,0,0,0,0,0,0
IM26078,0,0,0,0,0,0,0
IM26079,0,0,0,0,0,0,0
IM26080,0,0,0,0,0,0,0
